Tipo de empleo,Productos contratados,Propiedades inmobiliarias,Número de hijos,Estado civil,Ingresos,Concesión
jubilado,0,4,1,soltero,51990,estudiar
funcionario,6,5,1,viudo,13924,no conceder
,2,4,1,divorciado,16963,estudiar
funcionario,4,5,5,divorciado,59882,conceder
funcionario,1,2,2,soltero,74161,conceder
parado,0,2,4,divorciado,85063,conceder
funcionario,0,3,1,viudo,58705,conceder
jubilado,0,2,2,divorciado,79804,estudiar
funcionario,0,3,1,soltero,19158,estudiar
funcionario,1,5,0,divorciado,73556,conceder
parado,3,3,1,casado,15968,estudiar
funcionario,0,3,0,viudo,16665,estudiar
funcionario,1,4,1,divorciado,33694,conceder
,2,3,1,divorciado,,conceder
laboral,1,2,2,soltero,0,no conceder
jubilado,3,3,2,divorciado,24534,no conceder
jubilado,4,4,1,casado,35844,no conceder
,3,4,1,soltero,21242,conceder
jubilado,1,3,1,soltero,39121,no conceder
funcionario,1,3,4,casado,75729,conceder
laboral,1,5,0,divorciado,34049,conceder
jubilado,0,2,0,divorciado,33775,estudiar
laboral,1,4,2,soltero,35119,no conceder
parado,1,3,3,soltero,0,conceder
laboral,4,7,0,,60678,estudiar
laboral,3,3,1,viudo,13255,estudiar
funcionario,0,6,0,soltero,21772,conceder
funcionario,0,3,2,soltero,,conceder
laboral,1,4,1,divorciado,68498,estudiar
,3,3,0,soltero,62278,estudiar
funcionario,0,3,0,soltero,41868,conceder
jubilado,3,2,1,casado,51337,estudiar
laboral,2,6,0,soltero,43160,estudiar
jubilado,1,3,2,divorciado,18293,estudiar
parado,1,5,1,divorciado,33612,estudiar
jubilado,1,5,0,soltero,24388,conceder
jubilado,0,3,0,casado,12189,estudiar
jubilado,1,2,0,casado,16303,conceder
laboral,0,3,1,casado,84864,conceder
jubilado,1,3,1,soltero,15944,no conceder
jubilado,0,2,1,viudo,76745,estudiar
jubilado,2,3,1,soltero,62607,estudiar
funcionario,0,2,1,casado,20088,conceder
parado,1,2,4,viudo,12365,no conceder
jubilado,0,3,1,casado,69998,estudiar
laboral,1,2,0,viudo,54584,conceder
funcionario,2,2,0,viudo,75673,conceder
parado,2,7,0,viudo,42721,conceder
laboral,0,6,1,,33833,estudiar
parado,0,2,1,casado,13069,no conceder
funcionario,0,4,1,divorciado,81984,conceder
funcionario,1,3,2,divorciado,32262,estudiar
jubilado,1,3,0,soltero,19462,no conceder
laboral,0,4,0,viudo,38833,estudiar
parado,0,3,2,casado,20035,estudiar
jubilado,1,2,3,viudo,66015,estudiar
funcionario,0,2,1,soltero,76244,conceder
jubilado,6,3,1,soltero,87732,estudiar
jubilado,7,7,1,casado,27562,no conceder
jubilado,3,5,1,viudo,22030,no conceder
parado,0,2,0,viudo,27762,conceder
parado,2,3,0,divorciado,45900,conceder
parado,0,3,3,viudo,31150,estudiar
funcionario,0,2,4,viudo,,conceder
jubilado,0,2,2,soltero,34974,no conceder
parado,2,6,1,soltero,24991,no conceder
funcionario,0,2,0,soltero,64804,conceder
laboral,1,5,1,soltero,14084,no conceder
parado,2,3,2,casado,14506,no conceder
parado,7,4,1,viudo,32731,estudiar
laboral,1,2,0,divorciado,85526,conceder
parado,0,4,1,casado,50623,estudiar
laboral,0,2,2,soltero,0,no conceder
parado,6,3,2,viudo,0,no conceder
funcionario,1,4,0,divorciado,16381,no conceder
,2,2,1,casado,38078,conceder
funcionario,4,3,0,casado,63766,conceder
parado,1,3,1,soltero,0,no conceder
jubilado,2,2,2,viudo,72148,estudiar
jubilado,1,2,2,,67592,estudiar
jubilado,0,5,0,viudo,14951,no conceder
jubilado,0,2,0,soltero,20138,no conceder
parado,1,3,3,soltero,0,no conceder
parado,0,4,0,casado,85166,estudiar
jubilado,0,3,1,soltero,34225,no conceder
laboral,1,2,1,casado,17161,no conceder
laboral,2,2,3,soltero,15112,estudiar
parado,0,2,0,soltero,,no conceder
laboral,0,2,1,viudo,69940,conceder
funcionario,2,3,1,casado,72167,conceder
laboral,2,2,0,divorciado,13648,estudiar
parado,2,2,2,soltero,70719,estudiar
laboral,0,5,1,soltero,70043,conceder
laboral,1,5,2,soltero,76471,conceder
laboral,1,3,0,viudo,17869,no conceder
jubilado,1,3,1,viudo,15085,no conceder
jubilado,1,4,0,divorciado,16807,no conceder
jubilado,1,4,1,divorciado,76341,estudiar
jubilado,1,3,1,casado,49250,estudiar
jubilado,0,2,2,soltero,74429,estudiar
funcionario,0,5,3,viudo,18695,estudiar
laboral,0,3,2,viudo,64467,conceder
funcionario,1,2,1,viudo,37522,estudiar
parado,2,2,1,casado,33050,no conceder
parado,1,5,3,divorciado,51770,estudiar
,2,2,0,viudo,14463,estudiar
funcionario,1,2,2,viudo,0,no conceder
funcionario,0,3,0,divorciado,80622,conceder
funcionario,0,2,2,viudo,32860,estudiar
laboral,0,3,0,soltero,38264,estudiar
